                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                  1.055,                0.43501,                0.99093,                0.87899,                0.86725,                0.92043,                0.54188,                 1.5307,                0.61148,                 1.3536,              0.0099826,              0.0099826,              0.0099826
                     83,                 1.0498,                0.42913,                0.99326,                0.88533,                0.86943,                0.92033,                0.53957,                 1.5432,                0.62215,                 1.3611,              0.0099822,              0.0099822,              0.0099822
                     84,                 1.0322,                0.42154,                0.98737,                0.88318,                0.86927,                0.92295,                0.54459,                 1.5349,                0.62847,                 1.3554,              0.0099818,              0.0099818,              0.0099818
                     85,                 1.0389,                 0.4248,                0.98121,                0.87899,                0.87454,                0.91812,                0.53859,                 1.5385,                0.61651,                 1.3532,              0.0099813,              0.0099813,              0.0099813
                     86,                 1.0427,                0.42727,                0.97764,                0.88058,                0.87837,                0.92165,                0.54054,                 1.5402,                0.61399,                 1.3551,              0.0099809,              0.0099809,              0.0099809
                     87,                 1.0292,                0.42481,                0.97402,                0.88095,                0.87294,                0.92134,                0.54317,                 1.5379,                0.61344,                 1.3598,              0.0099804,              0.0099804,              0.0099804
                     88,                 1.0254,                0.41997,                0.97341,                0.88363,                0.87007,                  0.921,                0.54224,                 1.5405,                0.61358,                 1.3644,              0.0099799,              0.0099799,              0.0099799
                     89,                 1.0153,                0.41364,                0.97194,                0.88022,                0.87152,                0.91932,                0.54294,                 1.5418,                 0.6134,                 1.3759,              0.0099795,              0.0099795,              0.0099795
                     90,                 1.0175,                0.42431,                0.96868,                0.87934,                  0.868,                0.91504,                0.53969,                 1.5481,                0.62937,                 1.3734,               0.009979,               0.009979,               0.009979
                     91,                 1.0161,                0.41409,                0.97376,                0.89062,                0.86273,                0.91874,                0.54284,                 1.5394,                0.62805,                 1.3732,              0.0099785,              0.0099785,              0.0099785
                     92,                 1.0012,                0.41194,                0.96373,                0.87286,                0.87422,                0.91712,                0.54021,                 1.5364,                0.63343,                 1.3819,               0.009978,               0.009978,               0.009978
                     93,                0.99627,                0.41432,                0.96624,                0.87617,                0.86514,                0.91791,                0.54241,                 1.5475,                0.63011,                 1.3988,              0.0099775,              0.0099775,              0.0099775
                     94,                0.99956,                 0.4106,                0.97324,                0.88846,                0.86328,                0.92057,                0.54595,                 1.5332,                 0.6168,                 1.3797,               0.009977,               0.009977,               0.009977
                     95,                0.98661,                0.41242,                0.96237,                0.89272,                0.85762,                0.91885,                0.54216,                 1.5319,                0.62279,                 1.3844,              0.0099765,              0.0099765,              0.0099765
